forks,watchers,contributors,commits,branches,open_issues,closed_issues,open_prs,closed_prs,size,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,stargazers
576,216,12,261,3,82,80,18,40,3152,CSS,True,True,True,False,True,9992
2561,258,10,520,2,2,81,0,7,296644,Jupyter Notebook,True,True,True,True,True,9991
5320,480,75,824,26,21,1035,10,710,61145,C#,True,True,True,True,False,9990
1358,233,180,6063,29,315,2091,37,651,37018,Python,True,False,True,False,False,9990
906,120,184,944,19,233,530,28,366,9437,C,True,True,True,True,False,9987
2412,209,369,10122,34,64,5510,64,5510,51855,Java,False,True,True,True,False,9983
4053,536,117,918,6,82,218,8,180,66509,Jupyter Notebook,True,True,True,True,True,9983
4217,584,95,3933,1,25,19,8,9,5937,C,True,True,True,True,False,9983
982,212,13,230,1,20,52,2,23,1544,C,True,True,True,True,False,9978
752,164,38,604,9,426,2692,51,208,65674,Kotlin,True,True,True,True,True,9978
1407,431,6,93,1,30,49,1,12,174265,Matlab,True,True,True,True,False,9976
2305,218,64,576,27,121,639,23,222,119777,Python,True,True,True,True,True,9976
1444,219,321,4356,311,25,2727,19,1135,12796,Ruby,True,True,False,False,True,9975
1773,266,371,8898,122,27,3298,20,3298,164867,TypeScript,False,False,True,False,True,9972
373,143,32,717,4,37,550,1,232,4407,JavaScript,True,True,True,True,False,9969
424,118,32,719,102,124,256,28,120,3143,JavaScript,True,True,True,True,False,9967
1010,104,1,16,1,98,59,15,4,25460,Python,True,True,True,False,False,9963
475,83,17,91,1,6,24,0,19,6014,,True,True,True,True,False,9961
1559,169,7,66,1,9,20,4,12,23353,,True,False,True,False,False,9962
3052,394,309,16102,33,137,7720,17,4331,105277,Python,True,True,True,False,False,9960
1703,322,13,130,1,90,134,2,15,2497,Lua,True,True,True,True,False,9958
1376,509,171,7807,1,94,3827,46,2136,23949,Shell,True,True,True,True,False,9958
2865,569,35,1371,4,170,182,3,182,35213,Java,False,True,True,True,False,9954
884,228,109,4529,6,746,2511,46,684,38387,C#,True,True,True,False,False,9950
800,164,50,532,6,96,547,22,215,9297,Go,True,True,True,True,False,9949
1157,246,30,3348,22,463,2764,14,386,155413,,True,True,True,True,False,9946
2012,331,5,95,3,129,289,14,25,4257,Objective-C,True,True,True,True,False,9944
511,93,27,1549,3,71,479,1,84,10699,C#,True,False,True,True,True,9939
1579,133,189,1973,44,1015,1820,85,495,34160,Dart,True,True,True,True,True,9936
557,66,152,359,5,119,550,12,302,1348,Go,True,True,True,True,True,9936
640,216,87,6870,595,1015,6551,78,4360,63949,C,True,False,True,True,False,9935
6921,630,209,11042,78,592,4072,81,2264,122776,Java,True,True,True,True,False,9935
370,97,17,256,20,30,299,7,168,7447,Cuda,True,True,True,True,False,9935
1143,271,155,1922,8,431,1940,38,532,4608,JavaScript,True,True,True,True,False,9932
4141,616,71,1598,8,19,1021,4,537,53911,C++,True,True,True,True,True,9931
464,127,71,1399,9,28,2782,2,1444,1021815,Rust,True,False,True,False,True,9929
388,154,17,304,2,85,147,14,95,349,JavaScript,True,True,True,True,False,9928
2196,99,0,2,1,51,38,37,17,109,Python,True,True,True,False,False,9927
1077,346,59,805,15,1,711,0,282,17463,JavaScript,True,True,True,True,True,9921
1299,272,56,591,16,39,879,10,335,3325,Java,True,True,True,True,False,9920
356,206,19,60,4,0,51,0,41,234,,True,True,True,True,False,9919
2018,193,9,1223,8,195,479,4,88,5542,JavaScript,True,True,True,True,False,9918
1147,88,208,821,3,305,1458,19,745,5220,Go,True,True,True,True,False,9914
1130,186,94,619,39,115,811,8,360,36543,Python,True,True,True,False,False,9913
2126,463,171,3092,29,158,2304,15,857,10498,C,True,True,True,False,True,9912
400,68,117,1131,9,189,827,8,426,3911,Haskell,True,True,True,True,True,9911
1274,262,154,5159,7,217,1850,12,1128,386953,C++,True,True,True,True,True,9907
2469,269,3,272,4,27,72,2,29,61324,Python,True,True,True,True,True,9903
823,201,162,2439,11,18,1649,7,673,52998,Python,True,True,True,True,False,9903
3955,357,393,31824,2748,6848,54431,1148,33135,864010,JavaScript,True,True,True,False,True,9903
877,112,118,3194,61,165,4248,12,3118,59068,Go,True,False,True,True,False,9902
1126,49,36,442,1,26,981,0,323,24770,Go,True,True,True,True,False,9901
566,100,160,7332,1443,673,9526,1,7318,79728,OCaml,True,False,True,False,False,9898
51,24,29,189,3,6,44,2,26,337,PHP,True,True,True,False,False,9894
702,144,151,1850,1,99,1028,5,569,13663,TypeScript,True,True,False,False,True,9892
397,154,32,408,2,88,297,7,67,1343,Python,True,False,True,True,False,9890
2306,206,13,214,3,24,195,3,25,359,Python,True,True,True,True,False,9889
1149,404,45,764,13,39,487,7,195,9153,Objective-C,True,True,True,False,True,9889
681,225,5,353,13,2,13,0,9,45025,,True,False,True,False,False,9888
2570,565,27,276,5,65,166,24,65,5145,JavaScript,True,True,True,True,True,9882
910,318,3,122,5,50,12,3,12,5380,Python,False,True,True,False,False,9881
972,200,1,35,1,0,7,0,5,70,,True,True,True,True,False,9881
535,139,29,539,9,93,224,16,75,2915,JavaScript,True,True,True,False,True,9880
1395,82,66,1041,72,171,367,43,214,25444,Jupyter Notebook,True,True,True,False,False,9880
1282,251,96,568,11,123,330,23,249,4110,Rust,True,True,True,True,False,9879
4143,283,22,322,9,180,192,14,74,1058,JavaScript,True,True,True,True,True,9879
905,243,48,946,22,35,426,4,177,2703,Python,True,False,True,False,False,9878
1406,202,16,239,1,55,146,5,41,26509,Java,True,True,True,True,False,9876
2013,502,317,5718,9,526,8372,50,4953,66664,C#,True,True,True,False,True,9875
893,179,133,420,1,63,215,55,205,303,,True,True,True,True,False,9873
1159,225,90,1132,23,247,2144,15,725,20168,Vue,True,True,True,False,False,9872
335,62,49,1999,134,308,3238,25,2248,34433,Rust,True,True,True,True,False,9867
1519,290,349,101331,12,7220,47986,1,1004,1418651,Dart,True,True,True,True,False,9867
499,193,14,112,12,85,267,25,62,149,Shell,True,True,True,True,True,9867
306,43,32,1186,7,97,3264,8,295,130831,Swift,True,False,True,True,False,9862
3662,225,380,7858,8,522,3535,35,2640,48592,ANTLR,True,True,True,True,False,9859
2486,541,328,28133,3,695,6104,101,4017,68115,Python,True,True,True,True,False,9857
413,286,19,91,1,45,37,14,27,329,,True,True,True,True,False,9856
1697,628,47,191,2,49,85,29,74,252,,True,True,True,True,False,9855
791,111,17,600,38,570,570,35,68,12125,TypeScript,True,True,True,True,False,9851
4856,529,310,16064,11,284,8678,52,7574,855329,C,True,True,True,True,False,9850
2495,183,101,3568,6,74,579,44,472,10356,Assembly,True,True,True,True,True,9845
2683,514,12,598,12,88,561,3,46,3181,JavaScript,True,True,True,True,True,9844
2487,253,316,14506,43,1476,9710,293,4699,52418,PHP,True,True,True,False,False,9840
2727,334,124,1863,5,312,2525,18,579,8982,JavaScript,True,True,True,True,True,9838
2985,346,263,13542,57,1580,12460,76,3530,199666,PHP,True,True,True,True,False,9838
1214,210,377,2683,12,248,2195,30,1270,6500,Ruby,True,True,True,False,False,9836
5560,489,15,730,1,1,62,0,34,101978,PHP,True,True,True,True,True,9835
960,117,229,17662,29,95,5050,12,3507,19232,Python,True,True,True,True,False,9835
1066,83,47,1539,20,329,171,19,171,7175,Go,False,True,True,False,False,9832
1634,229,123,6040,51,12,3140,1,421,73998,JavaScript,True,True,True,False,True,9830
1453,278,22,184,17,37,318,4,114,635,Java,True,True,True,True,False,9829
1448,182,278,18698,28,144,6763,2,1508,131790,C++,True,True,True,True,False,9828
670,110,93,12007,400,525,4475,77,2663,1008971,Go,True,True,True,True,False,9825
837,130,11,128,5,46,46,11,35,24122,Python,True,True,True,False,False,9820
1443,248,197,2048,5,492,4118,12,2626,28525,C++,True,True,True,True,True,9819
1163,84,32,803,3,0,151,0,122,234910,Jupyter Notebook,True,True,True,True,True,9815
817,97,125,2982,18,50,1592,10,1168,111895,Go,True,True,True,True,False,9815
6039,402,391,96108,75,2548,69122,841,49629,649608,C,True,True,True,True,False,9807
1969,407,145,2534,8,16,1078,9,376,221196,GLSL,True,True,True,True,False,9806
1805,444,25,222,2,0,73,0,39,26110,Rich Text Format,True,True,True,False,True,9805
959,100,61,1605,10,53,453,8,279,4259,Go,True,True,True,True,False,9805
2550,517,291,17336,10,1101,6835,137,3709,2202678,C++,True,True,True,True,False,9804
701,126,129,415,1,222,376,118,246,1236,Python,True,True,True,True,False,9799
522,112,42,257,5,12,292,1,144,26623,Go,True,True,True,True,True,9798
4316,514,4,46,14,105,69,22,26,16083,Java,True,True,True,True,False,9793
1740,374,150,4209,3,3,4046,3,1042,127169,C#,True,False,True,True,False,9789
886,156,74,1683,14,466,1159,11,514,152166,Java,True,True,True,True,True,9788
1094,310,122,3635,3,5,1129,3,428,5327,JavaScript,True,False,True,True,True,9788
430,79,13,1449,94,21,552,8,84,1375,C,True,False,True,False,False,9784
1185,181,344,36435,3335,4938,57371,393,40350,1201358,Go,True,False,True,False,False,9779
1452,269,65,705,8,133,497,23,222,16188,JavaScript,True,True,True,True,True,9779
1587,284,52,615,4,238,723,13,261,1858,Python,True,True,True,True,False,9778
755,159,213,9580,12,628,6789,12,3909,128852,PHP,True,False,True,True,False,9778
2250,638,192,1069,3,24,375,1,349,1050,,True,True,True,True,False,9775
663,167,107,3448,19,35,8022,3,3356,132887,JavaScript,True,True,True,True,True,9774
481,200,68,1676,11,97,814,11,228,18217,Python,True,False,True,True,True,9770
291,114,37,238,46,546,535,2,145,2022,C++,True,True,True,True,False,9770
906,227,140,2159,10,29,1233,4,739,3534,Swift,True,False,True,True,True,9767
827,144,90,1004,5,224,466,38,290,3666,Go,True,True,True,True,False,9767
814,576,42,1222,1,1,317,0,260,1403,Ruby,True,False,True,False,False,9764
2088,668,65,1058,5,46,852,0,124,15965,C++,True,True,True,True,False,9764
760,91,30,909,13,281,1222,5,546,5860,Python,True,True,True,False,False,9763
1579,427,63,1489,28,266,572,44,222,21752,JavaScript,True,True,True,True,True,9757
1770,207,110,814,21,41,1467,3,1062,35722,Vue,True,True,True,False,True,9756
1115,145,26,493,3,291,554,25,199,9344,JavaScript,True,False,True,False,True,9753
4065,319,368,113243,38,2015,71343,116,46050,8413985,C++,True,True,True,True,True,9751
423,91,97,457,7,23,630,7,230,1732,JavaScript,True,True,True,True,False,9748
703,112,30,187,2,170,239,7,99,1755,JavaScript,True,True,True,False,False,9748
2955,230,88,699,24,89,679,52,304,4359,JavaScript,True,True,True,True,False,9747
858,293,32,207,2,15,74,9,55,1748,JavaScript,True,True,True,True,False,9742
269,52,63,276,35,53,205,18,106,715,TypeScript,True,False,True,True,False,9734
1202,184,43,408,1,511,344,53,110,2346,Python,True,True,True,True,False,9732
510,153,67,646,9,185,294,17,148,795,Shell,True,True,True,True,False,9732
2015,84,444,2925,1,51,3017,14,1936,3713,Lua,True,False,True,True,False,9730
826,48,370,5192,7,281,6077,31,4381,7017,Scheme,True,True,True,True,False,9730
1063,156,36,638,1,205,272,10,69,46325,CSS,True,True,True,True,False,9729
1884,263,6,97,3,75,54,9,17,14399,Java,True,True,True,True,False,9729
1775,267,226,1316,8,166,2809,25,749,5259,Python,True,True,True,True,False,9723
601,309,6,172,1,5,11,0,6,591,,True,False,True,True,True,9721
1684,224,91,893,8,84,1341,8,498,3496,JavaScript,True,True,True,True,False,9721
667,240,84,2736,25,299,1724,53,1143,16309,Go,True,True,True,True,False,9718
2113,309,15,612,3,191,1075,2,41,29343,Java,True,True,True,True,False,9718
1767,328,63,528,1,174,290,5,141,676,Objective-C,True,True,True,True,False,9718
910,87,21,443,16,227,132,1,65,94890,Python,True,True,True,True,False,9717
501,164,42,437,5,156,327,7,155,48644,TypeScript,True,True,True,False,True,9717
1533,48,218,1567,1,30,623,0,521,1409,Markdown,True,True,True,True,True,9715
1277,71,24,201,1,0,248,0,89,226,Python,True,False,True,False,False,9714
4408,264,134,557,10,180,1349,56,507,1274,JavaScript,True,True,True,True,True,9710
1248,281,71,310,3,17,651,8,219,571,Go,True,True,True,True,False,9710
2874,351,352,86321,84,4515,53004,38,26233,3811212,C++,True,False,True,True,False,9708
2162,224,20,99,3,220,191,63,72,31762,Python,True,True,True,True,False,9706
1664,346,183,3367,41,153,2887,44,1728,105103,C++,True,True,True,True,False,9706
2898,542,179,6429,74,52,3672,5,868,287511,C#,True,False,True,True,False,9702
1284,420,54,864,4,37,243,5,82,16830,Python,True,True,True,True,True,9702
1127,133,344,2785,20,298,2451,14,1211,11617,Go,True,True,True,False,False,9699
1408,117,212,3562,35,33,3940,8,3134,81236,Python,True,False,True,False,False,9699
604,83,115,7871,14,398,4481,33,1725,133990,TypeScript,True,True,True,False,False,9695
2411,545,221,13114,11,182,8477,13,2195,133726,JavaScript,True,True,True,True,False,9694
608,135,17,253,2,75,175,25,64,256,Go,True,True,True,True,False,9693
1075,350,39,588,5,43,525,12,296,1815,Kotlin,True,False,True,False,False,9689
5723,454,22,160,14,106,364,37,178,29395,HTML,True,True,True,True,True,9689
6259,344,24,237,2,8,166,4,90,469,Python,True,True,True,True,True,9688
439,131,13,190,4,12,109,1,34,1400,Python,True,False,True,False,True,9688
696,289,26,235,1,0,56,0,35,278,,True,True,True,True,True,9688
779,158,183,256,3,8,262,8,262,291,,False,False,True,False,False,9684
316,128,13,406,7,31,165,4,72,1917,TypeScript,True,True,True,True,False,9684
689,143,150,1271,17,71,1257,4,751,146133,TypeScript,True,True,True,False,False,9684
1380,171,106,830,32,667,1323,133,438,40925,JavaScript,True,True,True,True,True,9684
638,159,19,587,16,8,653,0,72,1807,TypeScript,True,False,True,False,False,9684
513,125,44,1057,4,222,905,28,171,5368,Nim,True,False,True,True,False,9680
1400,215,69,962,8,14,658,2,313,16669,TypeScript,True,True,True,True,True,9679
2806,168,332,37951,19,2435,19278,270,15170,248791,Java,True,False,True,True,False,9678
257,52,39,194,3,116,265,20,197,3828,Java,True,False,True,True,False,9675
3557,643,5,271,1,49,28,30,16,41665,Go,True,True,True,True,False,9674
924,271,31,180,3,37,95,5,47,6126,C,True,True,True,True,False,9674
321,68,48,4003,2,175,1950,1,812,785763,C#,True,True,True,True,False,9673
302,99,78,2063,4,43,756,9,330,4108,PHP,True,False,True,True,False,9670
257,46,345,4079,32,0,85,0,85,6432,PHP,False,False,False,False,False,9664
1542,156,1,3,1,185,112,1,12,54746,Java,True,True,True,False,False,9663
9535,156,105,20030,10,6,2236,1,1440,238899,TypeScript,True,False,True,False,True,9661
1624,606,14,206,1,53,66,17,44,758,Shell,True,True,True,True,False,9659
1266,69,6,144,14,18,96,4,34,22710,TypeScript,True,True,True,True,False,9658
2048,409,12,383,4,179,110,4,21,13780,Java,True,True,True,True,True,9656
2682,500,16,74,1,16,88,13,64,232,Swift,True,True,True,True,False,9655
594,74,36,1612,22,421,670,2,60,80957,TypeScript,True,True,True,True,True,9655
1081,212,263,5118,1,67,5423,5,2651,39134,Python,True,False,True,False,False,9650
637,169,42,3867,271,155,1100,33,719,128108,TypeScript,True,False,True,False,False,9650
323,131,10,78,2,42,97,18,27,444,JavaScript,True,True,True,True,False,9648
1124,123,84,961,5,29,986,2,290,28315,C++,True,True,False,False,False,9646
715,52,35,542,1,247,454,7,86,3284,JavaScript,True,True,True,True,False,9643
963,70,12,902,19,308,892,10,123,4973,TypeScript,True,False,True,True,False,9643
1979,256,20,115,1,144,132,3,37,649,Java,True,True,True,True,False,9641
1148,246,73,2213,6,46,545,7,148,134501,C++,True,False,True,False,True,9641
630,230,11,615,3,17,135,12,46,77796,,True,True,True,False,False,9639
805,115,3,84,1,12,70,1,2,138737,Jupyter Notebook,True,True,True,True,False,9638
746,172,31,403,1,20,418,0,95,8964,TypeScript,True,False,True,False,False,9634
3510,172,341,1699,30,144,3333,71,1025,17586,Java,True,True,True,True,True,9633
854,105,260,1336,9,40,2140,19,1453,6724,Python,True,False,True,False,True,9626
2828,280,365,15347,20,2782,6469,175,3710,55698,Python,True,True,True,True,False,9625
2143,453,8,46,1,9,21,2,13,201,,True,True,True,True,False,9625
790,331,128,610,4,93,295,72,276,552,,True,False,True,False,True,9624
771,292,29,388,2,212,53,0,53,1173,C#,False,False,True,False,True,9622
793,98,263,3702,58,174,1703,19,508,5219,Go,True,True,True,True,False,9621
202,34,64,2613,25,66,2406,9,1396,31287,TypeScript,True,True,True,True,True,9620
1559,402,123,1067,11,261,1023,57,472,2503,Java,True,True,True,True,False,9619
1429,136,8,263,6,877,393,8,53,738,JavaScript,True,True,True,True,False,9619
360,516,31,109,1,46,67,46,67,146,,False,False,True,False,False,9615
687,304,127,1188,2,2,213,1,200,23691,,True,False,True,False,True,9615
655,96,74,9141,7,49,1301,5,276,103449,CSS,True,True,True,True,True,9614
2413,457,119,613,9,577,602,22,239,1589,Python,True,True,True,True,False,9612
926,152,46,555,4,349,441,161,251,1103,JavaScript,True,True,True,True,True,9612
1496,43,31,217,7,133,335,17,64,112871,Python,True,True,True,True,False,9610
1271,221,101,6423,255,176,4346,33,2563,15468,Go,True,False,True,True,False,9610
1302,387,386,7544,94,754,6812,87,5896,30571,Swift,True,False,True,False,False,9608
444,52,107,796,4,81,1189,11,498,3273,Rust,True,True,True,False,True,9606
702,111,306,10456,7,875,4306,144,2246,42735,C++,True,True,True,True,True,9604
303,195,19,131,3,62,123,4,51,184,,True,False,True,False,False,9603
996,250,81,2607,26,80,2324,18,1232,176727,JavaScript,True,False,True,False,False,9601
1506,96,23,188,1,316,117,31,83,856,,True,True,True,True,False,9600
310,101,45,332,2,28,168,7,98,307,Shell,True,True,True,True,False,9599
946,176,8,396,18,196,313,31,32,2524,JavaScript,True,True,True,True,False,9599
700,110,58,1452,3,99,570,7,159,87620,JavaScript,True,False,True,False,False,9598
1900,805,22,130,1,19,28,3,21,209,,True,True,True,True,False,9597
2664,439,8,182,4,172,174,22,28,3474,Java,True,True,True,True,False,9592
983,300,77,1850,23,342,793,6,215,72243,JavaScript,True,True,True,True,True,9591
403,116,113,13013,6,245,3138,3,1173,52593,Common Lisp,True,False,True,False,False,9591
368,112,9,627,3,7,384,0,21,5064783,JavaScript,True,True,True,True,False,9590
337,124,16,40,2,36,23,6,23,494,JavaScript,False,False,True,False,False,9590
4482,304,350,15466,19,1068,14629,43,3129,153196,CSS,True,True,True,True,False,9589
1573,219,80,799,2,101,1501,0,426,8435,Go,True,True,True,False,False,9588
480,107,5,85,2,38,63,1,20,6695,SCSS,True,True,True,True,False,9587
1683,113,26,618,4,25,278,2,177,4527,JavaScript,True,False,True,False,True,9586
2247,404,21,129,2,0,101,0,37,953,JavaScript,True,True,True,True,False,9584
6622,267,397,3098,195,937,3659,243,2934,648752,Jupyter Notebook,True,True,True,False,False,9583
689,79,13,627,2,23,93,4,26,35270,Go,True,True,True,False,False,9581
842,177,72,5533,10,10,1008,2,193,34383,C++,True,True,True,True,True,9581
774,158,73,2077,18,292,608,21,298,5528,C,True,True,True,True,True,9578
1074,116,54,4988,327,60,3771,21,3030,142100,TypeScript,True,False,True,False,False,9578
2524,293,52,851,5,34,1125,1,165,25261,JavaScript,True,True,True,True,True,9577
588,187,43,232,1,0,91,0,91,355,JavaScript,False,False,True,False,True,9572
768,93,328,3635,7,43,2556,3,1247,41761,JavaScript,True,True,True,False,True,9572
1328,121,1,4,1,10,2,1,2,10,,False,True,True,True,False,9571
1123,171,85,756,10,427,1092,38,308,37352,JavaScript,True,True,True,True,True,9571
1392,207,271,1867,18,207,1828,25,874,3531,Python,True,False,True,False,True,9566
853,147,140,1644,22,0,1357,0,507,9247,PHP,True,False,True,False,False,9565
1265,95,254,25531,30,2145,11575,114,6804,153927,TypeScript,True,True,True,True,False,9565
8751,772,192,3723,47,228,1050,3,913,471372,,True,True,True,True,False,9563
807,179,19,2725,1,62,203,10,77,121209,TypeScript,True,True,True,False,False,9557
1486,82,383,12381,433,213,9609,62,7928,201577,Python,True,True,True,True,False,9554
783,85,15,93,3,201,91,16,32,31232,Jupyter Notebook,True,True,True,False,False,9553
2072,373,7,54,1,269,96,55,43,261,JavaScript,True,True,True,True,True,9547
